Reading Relevance Judgements..
Reading Document Scores and Evaluating..
Relevance Judgements for Query ID: 12
Rank	DocID		Doc Score	Relevance	Precision	Recall		nCDG
68	CACM-1069	0.14430283	0		0.05882		0.8		0.56967
69	CACM-1755	0.14430283	0		0.05797		0.8		0.56967
70	CACM-2796	0.14430283	0		0.05714		0.8		0.56967
71	CACM-1517	0.12660746	0		0.05634		0.8		0.56967
72	CACM-1810	0.12660746	0		0.05556		0.8		0.56967
73	CACM-1854	0.12660746	0		0.05479		0.8		0.56967
74	CACM-1877	0.12660746	0		0.05405		0.8		0.56967
75	CACM-2342	0.12660746	0		0.05333		0.8		0.56967
76	CACM-2535	0.12660746	0		0.05263		0.8		0.56967
77	CACM-2542	0.12660746	0		0.05195		0.8		0.56967
78	CACM-2849	0.12660746	0		0.05128		0.8		0.56967
79	CACM-3002	0.12660746	0		0.05063		0.8		0.56967
80	CACM-1050	0.10307345	0		0.05		0.8		0.56967
81	CACM-1472	0.10203751	0		0.04938		0.8		0.56967
82	CACM-1591	0.092191696	0		0.04878		0.8		0.56967
83	CACM-2357	0.08926423	0		0.04819		0.8		0.56967
84	CACM-2868	0.08926423	0		0.04762		0.8		0.56967
85	CACM-2920	0.08926423	0		0.04706		0.8		0.56967
86	CACM-0018	0.08829741	0		0.04651		0.8		0.56967
87	CACM-0025	0.08829741	0		0.04598		0.8		0.56967
88	CACM-0597	0.08829741	0		0.04545		0.8		0.56967
89	CACM-0652	0.08829741	0		0.04494		0.8		0.56967
90	CACM-1360	0.08829741	0		0.04444		0.8		0.56967
91	CACM-1464	0.08746072	0		0.04396		0.8		0.56967
92	CACM-2311	0.08637957	0		0.04348		0.8		0.56967
93	CACM-2407	0.08637957	0		0.04301		0.8		0.56967
94	CACM-2345	0.08110635	0		0.04255		0.8		0.56967
95	CACM-2583	0.07804462	0		0.04211		0.8		0.56967
96	CACM-0238	0.07726023	0		0.04167		0.8		0.56967
97	CACM-0651	0.07726023	0		0.04124		0.8		0.56967
98	CACM-0795	0.07726023	0		0.04082		0.8		0.56967
99	CACM-1912	0.07726023	0		0.0404		0.8		0.56967
100	CACM-2690	0.07726023	0		0.04		0.8		0.56967
Relevance Judgements for Query ID: 13
Rank	DocID		Doc Score	Relevance	Precision	Recall		nCDG
1	CACM-1795	0.64332205	1		1		0.09091		1
2	CACM-2495	0.5975083	1		1		0.18182		1
3	CACM-1947	0.5535952	1		1		0.27273		1
4	CACM-2748	0.528035	0		0.75		0.27273		0.8403
5	CACM-2559	0.4950907	0		0.6		0.27273		0.73869
6	CACM-1886	0.44647112	0		0.5		0.27273		0.66632
7	CACM-2897	0.43843484	1		0.57143		0.36364		0.69393
8	CACM-2904	0.38659886	0		0.5		0.36364		0.64406
9	CACM-3080	0.38377044	0		0.44444		0.36364		0.60304
10	CACM-2491	0.37791464	0		0.4		0.36364		0.56849
11	CACM-2680	0.3617208	0		0.36364		0.36364		0.53885
12	CACM-2537	0.3568571	0		0.33333		0.36364		0.53885
13	CACM-3171	0.34712863	0		0.30769		0.36364		0.53885
14	CACM-2464	0.3463252	0		0.28571		0.36364		0.53885
15	CACM-1195	0.33868977	0		0.26667		0.36364		0.53885
16	CACM-2253	0.32735753	0		0.25		0.36364		0.53885
17	CACM-2944	0.3262091	0		0.23529		0.36364		0.53885
18	CACM-2929	0.31939238	0		0.22222		0.36364		0.53885
19	CACM-1655	0.30841085	0		0.21053		0.36364		0.53885
20	CACM-2716	0.28945735	0		0.2(P@20)		0.36364		0.53885
21	CACM-1564	0.2743894	0		0.19048		0.36364		0.53885
22	CACM-2423	0.2743894	0		0.18182		0.36364		0.53885
23	CACM-2374	0.27298835	0		0.17391		0.36364		0.53885
24	CACM-3005	0.26183242	0		0.16667		0.36364		0.53885
25	CACM-2033	0.26124457	0		0.16		0.36364		0.53885
26	CACM-1651	0.24911706	0		0.15385		0.36364		0.53885
27	CACM-2611	0.24534898	0		0.14815		0.36364		0.53885
28	CACM-2858	0.24334013	0		0.14286		0.36364		0.53885
29	CACM-3053	0.24334013	0		0.13793		0.36364		0.53885
30	CACM-3054	0.24068223	0		0.13333		0.36364		0.53885
31	CACM-0267	0.24038294	0		0.12903		0.36364		0.53885
32	CACM-0230	0.23872676	0		0.125		0.36364		0.53885
33	CACM-0797	0.23872676	0		0.12121		0.36364		0.53885
34	CACM-1064	0.23872676	0		0.11765		0.36364		0.53885
35	CACM-1289	0.23872676	0		0.11429		0.36364		0.53885
36	CACM-2856	0.23869252	0		0.11111		0.36364		0.53885
37	CACM-2433	0.23437612	0		0.10811		0.36364		0.53885
38	CACM-1234	0.23171572	0		0.10526		0.36364		0.53885
39	CACM-2701	0.22340249	0		0.10256		0.36364		0.53885
40	CACM-1901	0.22280307	0		0.1		0.36364		0.53885
41	CACM-0066	0.22071782	0		0.09756		0.36364		0.53885
42	CACM-1757	0.21100664	0		0.09524		0.36364		0.53885
43	CACM-1542	0.2106169	0		0.09302		0.36364		0.53885
44	CACM-2133	0.21029912	0		0.09091		0.36364		0.53885
45	CACM-1275	0.20888591	0		0.08889		0.36364		0.53885
46	CACM-1414	0.20888591	0		0.08696		0.36364		0.53885
47	CACM-2835	0.20701885	0		0.08511		0.36364		0.53885
48	CACM-0149	0.20604253	0		0.08333		0.36364		0.53885
49	CACM-1670	0.20255528	0		0.08163		0.36364		0.53885
50	CACM-1992	0.20255528	0		0.08		0.36364		0.53885
51	CACM-2722	0.19925252	0		0.07843		0.36364		0.53885
52	CACM-2745	0.19869836	0		0.07692		0.36364		0.53885
53	CACM-2734	0.19712423	0		0.07547		0.36364		0.53885
54	CACM-2530	0.18242602	0		0.07407		0.36364		0.53885
55	CACM-3129	0.17914577	0		0.07273		0.36364		0.53885
56	CACM-1065	0.17904507	0		0.07143		0.36364		0.53885
57	CACM-2586	0.17904507	0		0.07018		0.36364		0.53885
58	CACM-0048	0.17705749	0		0.06897		0.36364		0.53885
59	CACM-1362	0.17705749	0		0.0678		0.36364		0.53885
60	CACM-2711	0.1756262	0		0.06667		0.36364		0.53885
61	CACM-2078	0.1752548	0		0.06557		0.36364		0.53885
62	CACM-1807	0.17389299	1		0.08065		0.45455		0.56914
63	CACM-1223	0.16849889	1		0.09524		0.54545		0.59932
64	CACM-1235	0.16849351	0		0.09375		0.54545		0.59932
65	CACM-3083	0.16805974	0		0.09231		0.54545		0.59932
66	CACM-1369	0.16523181	0		0.09091		0.54545		0.59932
67	CACM-1204	0.15765558	0		0.08955		0.54545		0.59932
68	CACM-2645	0.15531684	0		0.08824		0.54545		0.59932
69	CACM-2892	0.15143192	0		0.08696		0.54545		0.59932
70	CACM-1708	0.14958504	0		0.08571		0.54545		0.59932
71	CACM-0093	0.14920424	0		0.08451		0.54545		0.59932
72	CACM-2389	0.14902377	0		0.08333		0.54545		0.59932
73	CACM-2863	0.14902377	0		0.08219		0.54545		0.59932
74	CACM-1652	0.14447135	0		0.08108		0.54545		0.59932
75	CACM-1676	0.14430216	0		0.08		0.54545		0.59932
76	CACM-2836	0.14363311	0		0.07895		0.54545		0.59932
77	CACM-2524	0.1414585	0		0.07792		0.54545		0.59932
78	CACM-1465	0.14062326	0		0.07692		0.54545		0.59932
79	CACM-2126	0.13736169	0		0.07595		0.54545		0.59932
80	CACM-1523	0.13666514	0		0.075		0.54545		0.59932
81	CACM-2230	0.13616589	0		0.07407		0.54545		0.59932
82	CACM-1331	0.13049494	0		0.07317		0.54545		0.59932
83	CACM-2498	0.12899466	0		0.07229		0.54545		0.59932
84	CACM-0794	0.12837844	0		0.07143		0.54545		0.59932
85	CACM-2344	0.12832725	0		0.07059		0.54545		0.59932
86	CACM-2950	0.12738775	0		0.06977		0.54545		0.59932
87	CACM-0124	0.12612447	0		0.06897		0.54545		0.59932
88	CACM-1551	0.12612447	1		0.07955		0.63636		0.62725
89	CACM-1270	0.12610742	0		0.07865		0.63636		0.62725
90	CACM-1352	0.12610742	0		0.07778		0.63636		0.62725
91	CACM-1429	0.12610742	0		0.07692		0.63636		0.62725
92	CACM-2365	0.12610742	0		0.07609		0.63636		0.62725
93	CACM-2816	0.12418647	0		0.07527		0.63636		0.62725
94	CACM-2249	0.12392385	0		0.07447		0.63636		0.62725
95	CACM-1030	0.1231686	0		0.07368		0.63636		0.62725
96	CACM-0693	0.12267449	0		0.07292		0.63636		0.62725
97	CACM-1786	0.121533155	0		0.07216		0.63636		0.62725
98	CACM-3175	0.121533155	0		0.07143		0.63636		0.62725
99	CACM-3064	0.12141173	0		0.07071		0.63636		0.62725
100	CACM-0164	0.12103897	0		0.07		0.63636		0.62725
Relevance Judgements for Query ID: 19
Rank	DocID		Doc Score	Relevance	Precision	Recall		nCDG
1	CACM-2973	1.0088185	1		1		0.09091		1
2	CACM-3075	0.9137456	1		1		0.18182		1
3	CACM-2557	0.8322328	0		0.66667		0.18182		0.76019
4	CACM-2266	0.8261164	1		0.75		0.27273		0.79848
5	CACM-3156	0.8261164	1		0.8		0.36364		0.82285
6	CACM-1601	0.76765776	1		0.83333		0.45455		0.84021
7	CACM-0950	0.68843037	1		0.85714		0.54545		0.85343
8	CACM-1468	0.68843037	0		0.75		0.54545		0.7921
9	CACM-2433	0.594452	0		0.66667		0.54545		0.74165
10	CACM-2570	0.594452	0		0.6		0.54545		0.69916
11	CACM-2289	0.5686563	0		0.54545		0.54545		0.6627
12	CACM-1957	0.5663724	0		0.5		0.54545		0.6627
13	CACM-2838	0.5339811	0		0.46154		0.54545		0.6627
14	CACM-2692	0.48292387	0		0.42857		0.54545		0.6627
15	CACM-0141	0.4730892	1		0.46667		0.63636		0.70888
16	CACM-0392	0.4730892	0		0.4375		0.63636		0.70888
17	CACM-1302	0.4730892	0		0.41176		0.63636		0.70888
18	CACM-2114	0.47197703	0		0.38889		0.63636		0.70888
19	CACM-2723	0.47197703	0		0.36842		0.63636		0.70888
20	CACM-2182	0.41395304	0		0.35(P@20)		0.63636		0.70888
21	CACM-2685	0.40970725	0		0.33333		0.63636		0.70888
22	CACM-2714	0.39114887	1		0.36364		0.72727		0.74933
23	CACM-2896	0.35849383	0		0.34783		0.72727		0.74933
24	CACM-1262	0.35481688	0		0.33333		0.72727		0.74933
25	CACM-1367	0.35481688	0		0.32		0.72727		0.74933
26	CACM-1795	0.35481688	0		0.30769		0.72727		0.74933
27	CACM-1828	0.35481688	0		0.2963		0.72727		0.74933
28	CACM-2700	0.35481688	0		0.28571		0.72727		0.74933
29	CACM-2007	0.3525926	0		0.27586		0.72727		0.74933
30	CACM-0371	0.34904885	0		0.26667		0.72727		0.74933
31	CACM-1158	0.33452457	0		0.25806		0.72727		0.74933
32	CACM-2785	0.30728042	0		0.25		0.72727		0.74933
33	CACM-1796	0.29918474	0		0.24242		0.72727		0.74933
34	CACM-2952	0.29568073	0		0.23529		0.72727		0.74933
35	CACM-2895	0.292709	0		0.22857		0.72727		0.74933
36	CACM-1811	0.2897068	0		0.22222		0.72727		0.74933
37	CACM-0270	0.28207406	0		0.21622		0.72727		0.74933
38	CACM-0804	0.28207406	0		0.21053		0.72727		0.74933
39	CACM-1342	0.28207406	0		0.20513		0.72727		0.74933
40	CACM-1660	0.28207406	0		0.2		0.72727		0.74933
41	CACM-1952	0.28207406	0		0.19512		0.72727		0.74933
42	CACM-2325	0.28207406	0		0.19048		0.72727		0.74933
43	CACM-2342	0.2644649	0		0.18605		0.72727		0.74933
44	CACM-2851	0.2644649	0		0.18182		0.72727		0.74933
45	CACM-2401	0.25606704	0		0.17778		0.72727		0.74933
46	CACM-2865	0.25606704	0		0.17391		0.72727		0.74933
47	CACM-3059	0.25606704	0		0.17021		0.72727		0.74933
48	CACM-2080	0.2508934	0		0.16667		0.72727		0.74933
49	CACM-3073	0.2508934	0		0.16327		0.72727		0.74933
50	CACM-1374	0.2468148	0		0.16		0.72727		0.74933
51	CACM-1851	0.2468148	0		0.15686		0.72727		0.74933
52	CACM-1953	0.2468148	0		0.15385		0.72727		0.74933
53	CACM-2226	0.2468148	0		0.15094		0.72727		0.74933
54	CACM-2417	0.2468148	0		0.14815		0.72727		0.74933
55	CACM-2725	0.2468148	0		0.14545		0.72727		0.74933
56	CACM-2830	0.2468148	0		0.14286		0.72727		0.74933
57	CACM-1551	0.2442833	0		0.14035		0.72727		0.74933
58	CACM-1569	0.2365446	0		0.13793		0.72727		0.74933
59	CACM-3044	0.2365446	0		0.13559		0.72727		0.74933
60	CACM-2884	0.23321806	0		0.13333		0.72727		0.74933
61	CACM-2902	0.21591799	0		0.13115		0.72727		0.74933
62	CACM-2950	0.21591799	0		0.12903		0.72727		0.74933
63	CACM-3166	0.21591799	0		0.12698		0.72727		0.74933
64	CACM-1658	0.21155554	0		0.125		0.72727		0.74933
65	CACM-2025	0.21155554	0		0.12308		0.72727		0.74933
66	CACM-2222	0.21155554	0		0.12121		0.72727		0.74933
67	CACM-2362	0.21155554	0		0.1194		0.72727		0.74933
68	CACM-2505	0.21155554	0		0.11765		0.72727		0.74933
69	CACM-2863	0.21155554	0		0.11594		0.72727		0.74933
70	CACM-2942	0.21155554	0		0.11429		0.72727		0.74933
71	CACM-3061	0.21155554	0		0.11268		0.72727		0.74933
72	CACM-2740	0.20907786	0		0.11111		0.72727		0.74933
73	CACM-1008	0.20697652	0		0.10959		0.72727		0.74933
74	CACM-1200	0.20697652	0		0.10811		0.72727		0.74933
75	CACM-1380	0.20697652	0		0.10667		0.72727		0.74933
76	CACM-2727	0.20697652	0		0.10526		0.72727		0.74933
77	CACM-1747	0.20485362	0		0.1039		0.72727		0.74933
78	CACM-1846	0.20485362	0		0.10256		0.72727		0.74933
79	CACM-2175	0.20485362	0		0.10127		0.72727		0.74933
80	CACM-2195	0.20485362	0		0.1		0.72727		0.74933
81	CACM-1873	0.19945648	0		0.09877		0.72727		0.74933
82	CACM-2272	0.19945648	0		0.09756		0.72727		0.74933
83	CACM-1924	0.19710524	0		0.09639		0.72727		0.74933
84	CACM-2146	0.19710524	0		0.09524		0.72727		0.74933
85	CACM-2273	0.19710524	0		0.09412		0.72727		0.74933
86	CACM-2283	0.19710524	0		0.09302		0.72727		0.74933
87	CACM-2903	0.19710524	0		0.09195		0.72727		0.74933
88	CACM-3006	0.19710524	0		0.09091		0.72727		0.74933
89	CACM-1392	0.18321247	0		0.08989		0.72727		0.74933
90	CACM-2490	0.18321247	0		0.08889		0.72727		0.74933
91	CACM-2679	0.18321247	0		0.08791		0.72727		0.74933
92	CACM-2997	0.18321247	0		0.08696		0.72727		0.74933
93	CACM-1341	0.17740844	0		0.08602		0.72727		0.74933
94	CACM-1471	0.17740844	0		0.08511		0.72727		0.74933
95	CACM-1536	0.17740844	0		0.08421		0.72727		0.74933
96	CACM-1554	0.17740844	0		0.08333		0.72727		0.74933
97	CACM-1603	0.17740844	0		0.08247		0.72727		0.74933
98	CACM-1960	0.17740844	0		0.08163		0.72727		0.74933
99	CACM-2376	0.17740844	0		0.08081		0.72727		0.74933
100	CACM-2514	0.17740844	0		0.08		0.72727		0.74933
MAP Value: 0.6018471000325838
P@20 for Query 1: 0.2
P@20 for Query 2: 0.2
P@20 for Query 3: 0.35
