Reading Inverted Index
Reading Queries and Computing Scores
1 Q0 2536 84 3.7615777534350805 Corpora
1 Q0 1034 85 3.74695328474057 Corpora
1 Q0 2151 86 3.7456821856402476 Corpora
1 Q0 1924 87 3.743264032704412 Corpora
1 Q0 2618 88 3.7238842687744094 Corpora
1 Q0 2681 89 3.72114729986483 Corpora
1 Q0 1226 90 3.6968531779329608 Corpora
1 Q0 3023 91 3.6848478767107715 Corpora
1 Q0 2741 92 3.673805909373442 Corpora
1 Q0 2624 93 3.673805909373442 Corpora
1 Q0 2065 94 3.6591067385261526 Corpora
1 Q0 2105 95 3.641657916353507 Corpora
1 Q0 2358 96 3.6319776657327014 Corpora
1 Q0 1960 97 3.6266303566156055 Corpora
1 Q0 1652 98 3.62294370302158 Corpora
1 Q0 2621 99 3.595499699462545 Corpora
1 Q0 2582 100 3.5837309785746614 Corpora
1 Q0 1087 101 3.5551363748478515 Corpora
1 Q0 1698 102 3.5347664325221024 Corpora
1 Q0 1195 103 3.5267987464031423 Corpora
1 Q0 2479 104 3.521880533855473 Corpora
1 Q0 3090 105 3.5040191290339657 Corpora
1 Q0 2697 106 3.5039032436335464 Corpora
1 Q0 1502 107 3.494018954007716 Corpora
1 Q0 1393 108 3.490808863632931 Corpora
1 Q0 1570 109 3.4611217909977765 Corpora
1 Q0 2522 110 3.4603608660418184 Corpora
1 Q0 3026 111 3.4524826297530233 Corpora
1 Q0 2622 112 3.4476787692184785 Corpora
1 Q0 2946 113 3.4305176614974036 Corpora
1 Q0 3202 114 3.417065338595597 Corpora
1 Q0 3070 115 3.4103942351294503 Corpora
1 Q0 2542 116 3.407253072280289 Corpora
1 Q0 2555 117 3.381966593799455 Corpora
1 Q0 2138 118 3.363073579528171 Corpora
1 Q0 2599 119 3.3546924599819046 Corpora
1 Q0 2380 120 3.3544601600414046 Corpora
1 Q0 1826 121 3.350832312638436 Corpora
1 Q0 2370 122 3.339988878883416 Corpora
1 Q0 276 123 3.338984714111721 Corpora
1 Q0 92 124 3.3206345325065527 Corpora
1 Q0 1697 125 3.3156976134091996 Corpora
1 Q0 1683 126 3.313521516473775 Corpora
1 Q0 3050 127 3.3127540654409438 Corpora
1 Q0 1391 128 3.3057442262658787 Corpora
1 Q0 103 129 3.3022025772372503 Corpora
1 Q0 2184 130 3.300462545937294 Corpora
1 Q0 3131 131 3.2910727350598785 Corpora
1 Q0 1225 132 3.2909903657860076 Corpora
1 Q0 1647 133 3.2880105154566084 Corpora
1 Q0 1271 134 3.279172777220779 Corpora
1 Q0 1045 135 3.279069655878693 Corpora
1 Q0 1711 136 3.253416765239674 Corpora
1 Q0 2365 137 3.2404745745544 Corpora
1 Q0 3141 138 3.2333017008442866 Corpora
1 Q0 2878 139 3.2224976106721717 Corpora
1 Q0 2095 140 3.2205040025106335 Corpora
1 Q0 671 141 3.2205040025106335 Corpora
1 Q0 730 142 3.219202116761349 Corpora
1 Q0 696 143 3.1909171580750044 Corpora
1 Q0 3028 144 3.186416672914095 Corpora
1 Q0 2501 145 3.1726552737476266 Corpora
1 Q0 2594 146 3.1640419417298453 Corpora
1 Q0 1748 147 3.1443255452313332 Corpora
1 Q0 2904 148 3.138039315173895 Corpora
1 Q0 1957 149 3.123925828753719 Corpora
1 Q0 2297 150 3.120386524781303 Corpora
1 Q0 379 151 3.1102235841917643 Corpora
1 Q0 2535 152 3.109557213965404 Corpora
1 Q0 2059 153 3.095145179111154 Corpora
1 Q0 2516 154 3.0848376636384858 Corpora
1 Q0 2081 155 3.05893482638235 Corpora
1 Q0 405 156 3.053813401971475 Corpora
1 Q0 2376 157 3.046737622723237 Corpora
1 Q0 1827 158 3.040863365093422 Corpora
1 Q0 698 159 3.026197820297472 Corpora
1 Q0 17 160 3.0005872240547733 Corpora
1 Q0 1892 161 2.9854084005529877 Corpora
1 Q0 437 162 2.974375307645527 Corpora
1 Q0 1845 163 2.9580707324613043 Corpora
1 Q0 1471 164 2.9450552708015403 Corpora
1 Q0 1255 165 2.9450552708015403 Corpora
1 Q0 1315 166 2.928260897007035 Corpora
1 Q0 2342 167 2.927841293643681 Corpora
1 Q0 2819 168 2.9034918284650164 Corpora
1 Q0 215 169 2.8984171088302406 Corpora
1 Q0 3109 170 2.8978691845699953 Corpora
1 Q0 3080 171 2.8833761523638195 Corpora
1 Q0 1589 172 2.8743182169636903 Corpora
1 Q0 2667 173 2.8743182169636903 Corpora
1 Q0 1745 174 2.8698029140798234 Corpora
1 Q0 1805 175 2.867817822804742 Corpora
1 Q0 3002 176 2.861073310141933 Corpora
1 Q0 2036 177 2.8587498424333804 Corpora
1 Q0 1194 178 2.8534604461378557 Corpora
1 Q0 1069 179 2.8498975460061207 Corpora
1 Q0 3049 180 2.840314014545307 Corpora
1 Q0 1170 181 2.814425286166176 Corpora
1 Q0 2416 182 2.802975674777675 Corpora
1 Q0 23 183 2.802975674777675 Corpora
1 Q0 1877 184 2.7954165642425535 Corpora
1 Q0 1010 185 2.7951599763130055 Corpora
1 Q0 695 186 2.784522693927925 Corpora
1 Q0 2374 187 2.781005415957819 Corpora
1 Q0 2668 188 2.7630454212756703 Corpora
1 Q0 2838 189 2.7598455489220237 Corpora
1 Q0 3112 190 2.758064770924332 Corpora
1 Q0 1695 191 2.745880946232673 Corpora
1 Q0 2954 192 2.7393889997999694 Corpora
1 Q0 1795 193 2.7354200733745 Corpora
1 Q0 1753 194 2.7257922738368903 Corpora
1 Q0 2470 195 2.7126425429813463 Corpora
1 Q0 1199 196 2.7123298536605693 Corpora
1 Q0 2649 197 2.7023723866496834 Corpora
1 Q0 1681 198 2.681332724955279 Corpora
1 Q0 2133 199 2.6710442034160335 Corpora
1 Q0 825 200 2.660146622610374 Corpora
1 Q0 1810 201 2.6596143629907405 Corpora
1 Q0 1517 202 2.6515936617891747 Corpora
1 Q0 2719 203 2.6216919029395997 Corpora
1 Q0 2715 204 2.6092357807717463 Corpora
1 Q0 759 205 2.599225549005135 Corpora
1 Q0 964 206 2.5846752814741936 Corpora
1 Q0 2625 207 2.5837887560293753 Corpora
1 Q0 3013 208 2.5826500510713912 Corpora
1 Q0 320 209 2.5725676089102265 Corpora
1 Q0 2919 210 2.5720739780792625 Corpora
1 Q0 893 211 2.5697995492947 Corpora
1 Q0 3024 212 2.554442323631176 Corpora
1 Q0 1802 213 2.550974036190398 Corpora
1 Q0 1050 214 2.550974036190398 Corpora
1 Q0 2972 215 2.548689408774316 Corpora
1 Q0 2003 216 2.5383171291965736 Corpora
1 Q0 1476 217 2.5342721886629525 Corpora
1 Q0 2173 218 2.5320040425814105 Corpora
1 Q0 2202 219 2.52961251635674 Corpora
1 Q0 2809 220 2.522209391241194 Corpora
1 Q0 1854 221 2.519905804766615 Corpora
1 Q0 2500 222 2.511419406917799 Corpora
1 Q0 1861 223 2.5036632397601357 Corpora
1 Q0 2718 224 2.490889225755824 Corpora
1 Q0 3006 225 2.4684966101074 Corpora
1 Q0 1394 226 2.4684966101074 Corpora
1 Q0 2526 227 2.4536019126006576 Corpora
1 Q0 2113 228 2.4521302081066043 Corpora
1 Q0 2849 229 2.44556213584221 Corpora
1 Q0 3124 230 2.4356525374602667 Corpora
1 Q0 2986 231 2.434898142322171 Corpora
1 Q0 2650 232 2.4248978778917323 Corpora
1 Q0 1614 233 2.4148785734529863 Corpora
1 Q0 1590 234 2.414237775519217 Corpora
1 Q0 1893 235 2.4067230176438157 Corpora
1 Q0 1667 236 2.4067230176438157 Corpora
1 Q0 2311 237 2.406012447059227 Corpora
1 Q0 1408 238 2.3987260890733912 Corpora
1 Q0 1415 239 2.398424324238981 Corpora
1 Q0 1543 240 2.396905207397792 Corpora
1 Q0 2195 241 2.39074666208702 Corpora
1 Q0 2997 242 2.372806455679053 Corpora
1 Q0 1962 243 2.3680099308313762 Corpora
1 Q0 2680 244 2.3623129136013197 Corpora
1 Q0 2527 245 2.348259568506493 Corpora
1 Q0 1665 246 2.3424590966537218 Corpora
1 Q0 1404 247 2.340189747002571 Corpora
1 Q0 2720 248 2.3322164537043157 Corpora
1 Q0 2020 249 2.325130258861429 Corpora
1 Q0 1121 250 2.3245678119751076 Corpora
1 Q0 2955 251 2.322700001608818 Corpora
1 Q0 2277 252 2.302877219479779 Corpora
1 Q0 1700 253 2.297955733700618 Corpora
1 Q0 2771 254 2.2929120327081858 Corpora
1 Q0 1044 255 2.2779129036073447 Corpora
1 Q0 1588 256 2.2775744566867906 Corpora
1 Q0 2345 257 2.266282309338431 Corpora
1 Q0 1719 258 2.260624215561365 Corpora
1 Q0 2984 259 2.2558093400601607 Corpora
1 Q0 3105 260 2.2555851951560433 Corpora
1 Q0 1487 261 2.2555851951560433 Corpora
1 Q0 596 262 2.247836317081196 Corpora
1 Q0 2407 263 2.2396695291111586 Corpora
1 Q0 3012 264 2.2013933817602784 Corpora
1 Q0 3106 265 2.1967554089749033 Corpora
1 Q0 2283 266 2.1967554089749033 Corpora
1 Q0 2747 267 2.1850392083069683 Corpora
1 Q0 2371 268 2.1849883928475524 Corpora
1 Q0 619 269 2.1838295871163704 Corpora
1 Q0 1166 270 2.182673316400123 Corpora
1 Q0 1959 271 2.1707079092542525 Corpora
1 Q0 1726 272 2.1663686443826564 Corpora
1 Q0 1484 273 2.1660557206335698 Corpora
1 Q0 1304 274 2.1624810218888206 Corpora
1 Q0 2948 275 2.1590955408178036 Corpora
1 Q0 2188 276 2.152104164481203 Corpora
1 Q0 3180 277 2.1445712609495153 Corpora
1 Q0 1844 278 2.142972674251837 Corpora
1 Q0 3165 279 2.141489862339359 Corpora
1 Q0 1544 280 2.1364883798665812 Corpora
1 Q0 2435 281 2.13474803754675 Corpora
1 Q0 2690 282 2.1295439809085166 Corpora
1 Q0 2560 283 2.1256076752741735 Corpora
1 Q0 3067 284 2.124687091560525 Corpora
1 Q0 2318 285 2.1131319736797067 Corpora
1 Q0 1746 286 2.1086291363118868 Corpora
1 Q0 2853 287 2.1080326482142047 Corpora
1 Q0 2087 288 2.1080326482142047 Corpora
1 Q0 3072 289 2.1076779734074633 Corpora
1 Q0 1518 290 2.1041753931432168 Corpora
1 Q0 2949 291 2.100309687799702 Corpora
1 Q0 2689 292 2.0974391334966858 Corpora
1 Q0 1173 293 2.0804327620716743 Corpora
1 Q0 1341 294 2.0762929970601496 Corpora
1 Q0 2398 295 2.0762624079313103 Corpora
1 Q0 2812 296 2.0693488483306144 Corpora
1 Q0 1937 297 2.068062696376388 Corpora
1 Q0 2405 298 2.0662879296312378 Corpora
1 Q0 2852 299 2.0625817957185992 Corpora
1 Q0 2794 300 2.0609004322383484 Corpora
1 Q0 1347 301 2.059897386906127 Corpora
1 Q0 3189 302 2.05765733304562 Corpora
1 Q0 3077 303 2.0576450115353246 Corpora
1 Q0 2859 304 2.0557874538885827 Corpora
1 Q0 1571 305 2.051796301864549 Corpora
1 Q0 3150 306 2.0500175163823426 Corpora
1 Q0 1880 307 2.046029485071774 Corpora
1 Q0 1523 308 2.0437586864819104 Corpora
1 Q0 637 309 2.041423084405533 Corpora
1 Q0 1885 310 2.0300753152181867 Corpora
1 Q0 2882 311 2.027258057896575 Corpora
1 Q0 1734 312 2.0261644222085384 Corpora
1 Q0 2577 313 2.0163758455482372 Corpora
1 Q0 3082 314 2.01611623293376 Corpora
1 Q0 2723 315 2.014771768597034 Corpora
1 Q0 2768 316 2.0097591900517346 Corpora
1 Q0 2727 317 2.0090916453543195 Corpora
1 Q0 2583 318 2.0066813930971756 Corpora
1 Q0 1238 319 2.0044970494842516 Corpora
1 Q0 1482 320 2.001655793400207 Corpora
1 Q0 1440 321 1.9969382235750197 Corpora
1 Q0 2701 322 1.9796296601158458 Corpora
1 Q0 2959 323 1.9741574005812648 Corpora
1 Q0 1682 324 1.9717808452763124 Corpora
1 Q0 3136 325 1.9667154519488683 Corpora
1 Q0 2988 326 1.9630154783929357 Corpora
1 Q0 2469 327 1.9627656312376662 Corpora
1 Q0 2730 328 1.959370261417144 Corpora
1 Q0 3181 329 1.959329400185301 Corpora
1 Q0 40 330 1.9580296165623068 Corpora
1 Q0 2811 331 1.955657139196153 Corpora
1 Q0 2642 332 1.9504173923795742 Corpora
1 Q0 617 333 1.9472494449801068 Corpora
1 Q0 2567 334 1.9410779896844592 Corpora
1 Q0 2168 335 1.9352112305235116 Corpora
1 Q0 1505 336 1.9321586707143434 Corpora
1 Q0 1542 337 1.930331752897523 Corpora
1 Q0 190 338 1.9238460535584803 Corpora
1 Q0 2439 339 1.9232553276651416 Corpora
1 Q0 2344 340 1.9192156630674813 Corpora
1 Q0 2894 341 1.9188343552113818 Corpora
1 Q0 1735 342 1.918527854101996 Corpora
1 Q0 1605 343 1.9172999983702619 Corpora
1 Q0 1886 344 1.917020062592314 Corpora
1 Q0 1380 345 1.911575881218383 Corpora
1 Q0 1083 346 1.910053105997753 Corpora
1 Q0 2226 347 1.907778243018056 Corpora
1 Q0 2262 348 1.9057569774287397 Corpora
1 Q0 1754 349 1.9056925521075316 Corpora
1 Q0 2314 350 1.9055959222925762 Corpora
1 Q0 1164 351 1.899973392021704 Corpora
1 Q0 2951 352 1.8998453265666966 Corpora
1 Q0 2841 353 1.898718555375643 Corpora
1 Q0 2139 354 1.8971484220011663 Corpora
1 Q0 856 355 1.8971484220011663 Corpora
1 Q0 2985 356 1.8969670656805746 Corpora
1 Q0 1774 357 1.8942248044178123 Corpora
1 Q0 1699 358 1.894097512717961 Corpora
1 Q0 3014 359 1.8916443482568472 Corpora
1 Q0 2174 360 1.8866363997956652 Corpora
1 Q0 3144 361 1.8828313595839297 Corpora
1 Q0 414 362 1.8801297861836537 Corpora
1 Q0 1572 363 1.8798789940250065 Corpora
1 Q0 2738 364 1.8771858803038821 Corpora
1 Q0 892 365 1.876240229036562 Corpora
1 Q0 2888 366 1.87571738183379 Corpora
1 Q0 284 367 1.87571738183379 Corpora
1 Q0 3048 368 1.8742511791428267 Corpora
1 Q0 398 369 1.8720713827182152 Corpora
1 Q0 294 370 1.8720713827182152 Corpora
1 Q0 2845 371 1.8659958807029715 Corpora
1 Q0 1514 372 1.8659958807029715 Corpora
1 Q0 982 373 1.8659580050468818 Corpora
1 Q0 1200 374 1.8659580050468818 Corpora
1 Q0 3173 375 1.8659580050468818 Corpora
1 Q0 2557 376 1.8659580050468818 Corpora
1 Q0 2176 377 1.8657308974103126 Corpora
1 Q0 2189 378 1.864940245877786 Corpora
1 Q0 1387 379 1.8631576133998384 Corpora
1 Q0 3153 380 1.857568111515796 Corpora
1 Q0 1593 381 1.8557878646743404 Corpora
1 Q0 1786 382 1.8557878646743404 Corpora
1 Q0 197 383 1.8554269257855298 Corpora
1 Q0 25 384 1.8554269257855298 Corpora
1 Q0 1910 385 1.8494588050403171 Corpora
1 Q0 1787 386 1.845727985165855 Corpora
1 Q0 2178 387 1.8405178238197746 Corpora
1 Q0 798 388 1.839075830025307 Corpora
1 Q0 1026 389 1.8357765830784676 Corpora
1 Q0 3078 390 1.8304727828737266 Corpora
1 Q0 1161 391 1.826467634258158 Corpora
1 Q0 391 392 1.823010407383886 Corpora
1 Q0 2198 393 1.8224042232641107 Corpora
1 Q0 3081 394 1.8208327597279252 Corpora
1 Q0 2866 395 1.8161922676552853 Corpora
1 Q0 1179 396 1.8145566637520227 Corpora
1 Q0 2321 397 1.8106207876752927 Corpora
1 Q0 597 398 1.8072232361201177 Corpora
1 Q0 1360 399 1.8072232361201177 Corpora
1 Q0 652 400 1.8072232361201177 Corpora
1 Q0 18 401 1.8072232361201177 Corpora
1 Q0 1712 402 1.8068756779023747 Corpora
1 Q0 1744 403 1.8067598548683605 Corpora
1 Q0 2127 404 1.8066672071317424 Corpora
1 Q0 3052 405 1.8036890638427487 Corpora
1 Q0 1626 406 1.8028000370987052 Corpora
1 Q0 1489 407 1.801560715597361 Corpora
1 Q0 2645 408 1.7919184856061094 Corpora
1 Q0 2995 409 1.7917071493731074 Corpora
1 Q0 1617 410 1.7917071493731074 Corpora
1 Q0 651 411 1.7917071493731074 Corpora
1 Q0 275 412 1.7917071493731074 Corpora
1 Q0 3134 413 1.788091196825271 Corpora
1 Q0 2134 414 1.787586935143496 Corpora
1 Q0 1975 415 1.787586935143496 Corpora
1 Q0 1216 416 1.787586935143496 Corpora
1 Q0 1252 417 1.7861412939406454 Corpora
1 Q0 1428 418 1.783709887574675 Corpora
1 Q0 2406 419 1.779737968817131 Corpora
1 Q0 334 420 1.7764552243138603 Corpora
1 Q0 586 421 1.7764552243138603 Corpora
1 Q0 795 422 1.7764552243138603 Corpora
1 Q0 594 423 1.7764552243138603 Corpora
1 Q0 2070 424 1.7764552243138603 Corpora
1 Q0 277 425 1.7764552243138603 Corpora
1 Q0 1196 426 1.776007484946116 Corpora
1 Q0 1030 427 1.776007484946116 Corpora
1 Q0 1412 428 1.7729005103398563 Corpora
1 Q0 1184 429 1.7690121103901597 Corpora
1 Q0 2605 430 1.7690121103901597 Corpora
1 Q0 3119 431 1.7685932378336493 Corpora
1 Q0 46 432 1.7659880171063125 Corpora
1 Q0 3163 433 1.764225497034552 Corpora
1 Q0 1070 434 1.7614607718463338 Corpora
1 Q0 60 435 1.7614607718463338 Corpora
1 Q0 731 436 1.7560809660871357 Corpora
1 Q0 2519 437 1.7560809660871357 Corpora
1 Q0 2016 438 1.7560809660871357 Corpora
1 Q0 2247 439 1.7535669970937395 Corpora
1 Q0 3076 440 1.7510602157021886 Corpora
1 Q0 2286 441 1.7508193379228123 Corpora
1 Q0 3147 442 1.749890986649424 Corpora
1 Q0 1671 443 1.7491250692677671 Corpora
1 Q0 438 444 1.746717326825697 Corpora
1 Q0 2818 445 1.746717326825697 Corpora
1 Q0 656 446 1.746717326825697 Corpora
1 Q0 98 447 1.746717326825697 Corpora
1 Q0 238 448 1.746717326825697 Corpora
1 Q0 3011 449 1.7462303560390058 Corpora
1 Q0 2928 450 1.7425850089438648 Corpora
1 Q0 3201 451 1.7418625566277621 Corpora
1 Q0 1117 452 1.7418625566277621 Corpora
1 Q0 1262 453 1.7418625566277621 Corpora
1 Q0 2169 454 1.736596630685895 Corpora
1 Q0 3128 455 1.7353397840296167 Corpora
1 Q0 987 456 1.7322186387637621 Corpora
1 Q0 143 457 1.7322186387637621 Corpora
1 Q0 2329 458 1.7322186387637621 Corpora
1 Q0 271 459 1.7322186387637621 Corpora
1 Q0 1829 460 1.7288385882882276 Corpora
1 Q0 1658 461 1.7242211343856266 Corpora
1 Q0 1309 462 1.722264780977501 Corpora
1 Q0 2209 463 1.717644587896323 Corpora
1 Q0 1515 464 1.7106048517852939 Corpora
1 Q0 2201 465 1.7104491414797316 Corpora
1 Q0 2499 466 1.708307482688635 Corpora
1 Q0 3183 467 1.7081675518356965 Corpora
1 Q0 1901 468 1.7081675518356965 Corpora
1 Q0 719 469 1.7069334706827877 Corpora
1 Q0 68 470 1.7069334706827877 Corpora
1 Q0 2992 471 1.703931552266378 Corpora
1 Q0 2917 472 1.703931552266378 Corpora
1 Q0 439 473 1.703931552266378 Corpora
1 Q0 643 474 1.703931552266378 Corpora
1 Q0 239 475 1.703931552266378 Corpora
1 Q0 1417 476 1.703622584607939 Corpora
1 Q0 2947 477 1.703468142792889 Corpora
1 Q0 854 478 1.703468142792889 Corpora
1 Q0 104 479 1.698896914183817 Corpora
1 Q0 2766 480 1.6984189896414972 Corpora
1 Q0 2106 481 1.6978935546839382 Corpora
1 Q0 2806 482 1.6966970855029544 Corpora
1 Q0 855 483 1.694299228726526 Corpora
1 Q0 2375 484 1.6931028401215524 Corpora
1 Q0 1541 485 1.68982766495935 Corpora
1 Q0 435 486 1.6897263613245066 Corpora
1 Q0 1808 487 1.6830136445876058 Corpora
1 Q0 2308 488 1.6806542812027994 Corpora
1 Q0 2759 489 1.676553476459535 Corpora
1 Q0 2553 490 1.676553476459535 Corpora
1 Q0 2525 491 1.6761048371363731 Corpora
1 Q0 1331 492 1.67337769268875 Corpora
1 Q0 1292 493 1.67337769268875 Corpora
1 Q0 1677 494 1.6727461110489474 Corpora
1 Q0 2274 495 1.6727461110489474 Corpora
1 Q0 1233 496 1.669549145074351 Corpora
1 Q0 2390 497 1.669400819061763 Corpora
1 Q0 2046 498 1.6668278726164187 Corpora
1 Q0 2002 499 1.6664807145065912 Corpora
1 Q0 558 500 1.6651938827736175 Corpora
1 Q0 1032 501 1.6561523929127575 Corpora
1 Q0 2965 502 1.6500412874042367 Corpora
1 Q0 2502 503 1.6500412874042367 Corpora
1 Q0 2221 504 1.6500412874042367 Corpora
1 Q0 1511 505 1.6500412874042367 Corpora
1 Q0 633 506 1.6500412874042367 Corpora
1 Q0 3015 507 1.644378543221257 Corpora
1 Q0 2556 508 1.641115792536981 Corpora
1 Q0 1046 509 1.64100699698012 Corpora
1 Q0 3168 510 1.6370971641989358 Corpora
1 Q0 2750 511 1.6366693904171679 Corpora
1 Q0 2035 512 1.634077815851749 Corpora
1 Q0 1630 513 1.6332437581363324 Corpora
1 Q0 1846 514 1.6302765242922048 Corpora
1 Q0 1931 515 1.6282036789010044 Corpora
1 Q0 1066 516 1.6270987827302894 Corpora
1 Q0 1958 517 1.6254468836908915 Corpora
1 Q0 2075 518 1.6243545464602316 Corpora
1 Q0 2561 519 1.6239801878905036 Corpora
1 Q0 971 520 1.617778724971154 Corpora
1 Q0 2869 521 1.617778724971154 Corpora
1 Q0 1664 522 1.6176394547251123 Corpora
1 Q0 1506 523 1.6155985999456173 Corpora
1 Q0 2143 524 1.6118087651763304 Corpora
1 Q0 2758 525 1.6118087651763304 Corpora
1 Q0 2875 526 1.6118087651763304 Corpora
1 Q0 2099 527 1.6118087651763304 Corpora
1 Q0 1756 528 1.6118087651763304 Corpora
1 Q0 3169 529 1.6118087651763304 Corpora
1 Q0 1473 530 1.6115323002671518 Corpora
1 Q0 1410 531 1.611440166372018 Corpora
1 Q0 942 532 1.6100743497500292 Corpora
1 Q0 2017 533 1.6031871913551774 Corpora
1 Q0 2128 534 1.5991830508170792 Corpora
1 Q0 2165 535 1.5991830508170792 Corpora
1 Q0 1978 536 1.5959896875134456 Corpora
1 Q0 1325 537 1.5950183206601847 Corpora
1 Q0 2764 538 1.5930791298577975 Corpora
1 Q0 1636 539 1.5930791298577975 Corpora
1 Q0 1996 540 1.5872897461811684 Corpora
1 Q0 1432 541 1.5870216278276323 Corpora
1 Q0 2452 542 1.5869322751706239 Corpora
1 Q0 1613 543 1.5801853956763876 Corpora
1 Q0 59 544 1.5753078646173353 Corpora
1 Q0 1781 545 1.5750437785079165 Corpora
1 Q0 2324 546 1.572885746772647 Corpora
1 Q0 728 547 1.5691223999516144 Corpora
1 Q0 2163 548 1.5670713586419003 Corpora
1 Q0 2786 549 1.5660478474014425 Corpora
1 Q0 2236 550 1.5635055216425946 Corpora
1 Q0 2578 551 1.5635055216425946 Corpora
1 Q0 2533 552 1.5518787119093722 Corpora
1 Q0 1097 553 1.5518787119093722 Corpora
1 Q0 1627 554 1.5516224221163932 Corpora
1 Q0 3059 555 1.5515370109958173 Corpora
1 Q0 2423 556 1.5515370109958173 Corpora
1 Q0 1307 557 1.5486160006734244 Corpora
1 Q0 2870 558 1.5477014275211294 Corpora
1 Q0 3157 559 1.54574835219552 Corpora
1 Q0 1908 560 1.54574835219552 Corpora
1 Q0 2712 561 1.5443493284181307 Corpora
1 Q0 3065 562 1.5443493284181307 Corpora
1 Q0 3199 563 1.5443493284181307 Corpora
1 Q0 1670 564 1.5404235483316888 Corpora
1 Q0 1332 565 1.5404235483316888 Corpora
1 Q0 84 566 1.5404235483316888 Corpora
1 Q0 1767 567 1.5401710278631953 Corpora
1 Q0 1713 568 1.5345084834906537 Corpora
1 Q0 3039 569 1.530465924619764 Corpora
1 Q0 1685 570 1.5288874240610542 Corpora
